created_at,id,id_str,full_text,Results,truncated,display_text_range,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,,,,
Sat Apr 03 15:23:33 +0000 2021,1.37837E+18,1.37837E+18,"Amazing Modern fashion luxury clothing brand logo design.
Contact me - https://t.co/SjbDVHDs3W   
Chelsea
#SixTONESANN
#CHEWBA
West Brom
#meleklerinsözüvar
Space Jam
Asensio
#まんが王国はお得感No1
#まんが王国お得爆発DAY
Tuchel
#modern #fashion #luxury #clothing #apparel #logos https://t.co/DYAWFD9uIq",0,FALSE,"[0, 259]","{'hashtags': [{'text': 'SixTONESANN', 'indices': [106, 118]}, {'text': 'CHEWBA', 'indices': [119, 126]}, {'text': 'meleklerinsözüvar', 'indices': [137, 155]}, {'text': 'まんが王国はお得感No1', 'indices': [174, 187]}, {'text': 'まんが王国お得爆発DAY', 'indices': [188, 201]}, {'text': 'modern', 'indices': [209, 216]}, {'text': 'fashion', 'indices': [217, 225]}, {'text': 'luxury', 'indices': [226, 233]}, {'text': 'clothing', 'indices': [234, 243]}, {'text': 'apparel', 'indices': [244, 252]}, {'text': 'logos', 'indices': [253, 259]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/SjbDVHDs3W', 'expanded_url': 'https://rb.gy/a79fhq', 'display_url': 'rb.gy/a79fhq', 'indices': [71, 94]}], 'media': [{'id': 1378367561755029507, 'id_str': '1378367561755029507', 'indices': [260, 283], 'media_url': 'http://pbs.twimg.com/media/EyDx_phUcAMn85A.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EyDx_phUcAMn85A.jpg', 'url': 'https://t.co/DYAWFD9uIq', 'display_url': 'pic.twitter.com/DYAWFD9uIq', 'expanded_url': 'https://twitter.com/NurIsla45420575/status/1378367576158265344/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 410, 'resize': 'fit'}, 'large': {'w': 900, 'h': 543, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 543, 'resize': 'fit'}}}]}","{'media': [{'id': 1378367561755029507, 'id_str': '1378367561755029507', 'indices': [260, 283], 'media_url': 'http://pbs.twimg.com/media/EyDx_phUcAMn85A.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EyDx_phUcAMn85A.jpg', 'url': 'https://t.co/DYAWFD9uIq', 'display_url': 'pic.twitter.com/DYAWFD9uIq', 'expanded_url': 'https://twitter.com/NurIsla45420575/status/1378367576158265344/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 410, 'resize': 'fit'}, 'large': {'w': 900, 'h': 543, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 543, 'resize': 'fit'}}}, {'id': 1378367561784430594, 'id_str': '1378367561784430594', 'indices': [260, 283], 'media_url': 'http://pbs.twimg.com/media/EyDx_poVEAIlNY6.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EyDx_poVEAIlNY6.jpg', 'url': 'https://t.co/DYAWFD9uIq', 'display_url': 'pic.twitter.com/DYAWFD9uIq', 'expanded_url': 'https://twitter.com/NurIsla45420575/status/1378367576158265344/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 900, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 675, 'resize': 'fit'}}}, {'id': 1378367561864073217, 'id_str': '1378367561864073217', 'indices': [260, 283], 'media_url': 'http://pbs.twimg.com/media/EyDx_p7UUAE8-yy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EyDx_p7UUAE8-yy.jpg', 'url': 'https://t.co/DYAWFD9uIq', 'display_url': 'pic.twitter.com/DYAWFD9uIq', 'expanded_url': 'https://twitter.com/NurIsla45420575/status/1378367576158265344/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 900, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'large': {'w': 900, 'h': 900, 'resize': 'fit'}}}, {'id': 1378367561918652423, 'id_str': '1378367561918652423', 'indices': [260, 283], 'media_url': 'http://pbs.twimg.com/media/EyDx_qIVIAcgZ9P.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EyDx_qIVIAcgZ9P.jpg', 'url': 'https://t.co/DYAWFD9uIq', 'display_url': 'pic.twitter.com/DYAWFD9uIq', 'expanded_url': 'https://twitter.com/NurIsla45420575/status/1378367576158265344/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 475, 'resize': 'fit'}, 'large': {'w': 800, 'h': 559, 'resize': 'fit'}, 'medium': {'w': 800, 'h': 559, 'resize': 'fit'}}}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 1316894180258406400, 'id_str': '1316894180258406400', 'name': 'Nur Islam', 'screen_name': 'NurIsla45420575', 'location': '', 'description': ""Hello Sir, I'm creative modern minimalist business logo design expert\nthat has worked in the industry for over 3 + years."", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 24, 'friends_count': 130, 'listed_count': 0, 'created_at': 'Fri Oct 16 00:10:22 +0000 2020', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 102, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1316894358658924544/U4StPRqv_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1316894358658924544/U4StPRqv_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,0,FALSE,FALSE,FALSE,en,,
Sat Apr 03 15:23:26 +0000 2021,1.37837E+18,1.37837E+18,so Taiga just hid his lack of interesting topic/reaction w/ sleepy as the reason???? 😂 #SixTONESANN,1,FALSE,"[0, 99]","{'hashtags': [{'text': 'SixTONESANN', 'indices': [87, 99]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 1039830511588241408, 'id_str': '1039830511588241408', 'name': 'Rena 🦊🐺🐳👾 要ロス', 'screen_name': 'RAMPAMPAMS', 'location': '北斗學園', 'description': 'SixTONESは最強です。だってこの6人だから。\nTweet in bahasa Indonesia, english, 日本語、keyboard smash. (a fan account. translation archive: @oreranoneiro)\n💎🌹🍀', 'url': 'https://t.co/VvvZQ1HJZy', 'entities': {'url': {'urls': [{'url': 'https://t.co/VvvZQ1HJZy', 'expanded_url': 'https://ko-fi.com/renyaaannn', 'display_url': 'ko-fi.com/renyaaannn', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1181, 'friends_count': 396, 'listed_count': 8, 'created_at': 'Wed Sep 12 10:58:07 +0000 2018', 'favourites_count': 13058, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 62355, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1378111688600289281/hmHt4Zoy_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1378111688600289281/hmHt4Zoy_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1039830511588241408/1616689692', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,1,FALSE,FALSE,en,,,,
Sat Apr 03 15:23:00 +0000 2021,1.37837E+18,1.37837E+18,iPhone20wwwwwwwww #SixTONESANN,0,FALSE,"[0, 30]","{'hashtags': [{'text': 'SixTONESANN', 'indices': [18, 30]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 944137046695690240, 'id_str': '944137046695690240', 'name': '00', 'screen_name': 'sgokhmd07', 'location': '', 'description': 'ただのゆるオタ', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 7, 'friends_count': 83, 'listed_count': 0, 'created_at': 'Fri Dec 22 09:26:27 +0000 2017', 'favourites_count': 11377, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1640, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1249323961168453635/3uqb4ji8_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1249323961168453635/3uqb4ji8_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/944137046695690240/1601715561', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,0,FALSE,FALSE,en,,,,
Sat Apr 03 15:22:56 +0000 2021,1.37837E+18,1.37837E+18,"did taiga just yawn while talking 😂😂
#SixTONESANN",1,FALSE,"[0, 49]","{'hashtags': [{'text': 'SixTONESANN', 'indices': [37, 49]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 1014819618781687808, 'id_str': '1014819618781687808', 'name': 'ally🍒 HokuthirST 24/7 🐑', 'screen_name': 'arixng13', 'location': 'Ph', 'description': ""21•PH🐏Johnny's Trash 🍒 ENG/FIL/JP🆗️ occasional translations🌼 personally attacked everyday by sir Matsumura Hokuto"", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 512, 'friends_count': 288, 'listed_count': 4, 'created_at': 'Thu Jul 05 10:33:46 +0000 2018', 'favourites_count': 6117, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 5832, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1377271948099522567/g6M_o7Np_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1377271948099522567/g6M_o7Np_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1014819618781687808/1616158129', 'profile_link_color': 'E81C4F', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,0,FALSE,FALSE,en,,,,
Sat Apr 03 15:22:55 +0000 2021,1.37837E+18,1.37837E+18,"iPhone20 wwwww
 #SixTONESANN",0,FALSE,"[0, 28]","{'hashtags': [{'text': 'SixTONESANN', 'indices': [16, 28]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1368099542856388613, 'id_str': '1368099542856388613', 'name': 'みぞれ', 'screen_name': 'MizoRE70', 'location': '', 'description': '💎ド新規team SixTONES💎北斗寄りの箱推し🖤リトルストーン。わちゃわちゃしてる大男6人が大好き。20年以上ジャニヲタやってる30↑。大人スト担のお友達募集中😊 💙KinKi Kidsは原点(別垢有)❤️', 'url': 'https://t.co/QeNnbLlGTV', 'entities': {'url': {'urls': [{'url': 'https://t.co/QeNnbLlGTV', 'expanded_url': 'https://twpf.jp/MizoRE70', 'display_url': 'twpf.jp/MizoRE70', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 18, 'friends_count': 40, 'listed_count': 0, 'created_at': 'Sat Mar 06 07:22:15 +0000 2021', 'favourites_count': 197, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1112, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1376537694751232008/sHbTNra1_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1376537694751232008/sHbTNra1_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1368099542856388613/1615106779', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,0,FALSE,FALSE,en,,,,
Sat Apr 03 15:22:53 +0000 2021,1.37837E+18,1.37837E+18,"RT @morisjimusho: Start 3/4/2021! #SixTONESANN 
Juri is with Taiga for tonight~",1,FALSE,"[0, 79]","{'hashtags': [{'text': 'SixTONESANN', 'indices': [34, 46]}], 'symbols': [], 'user_mentions': [{'screen_name': 'morisjimusho', 'name': 'Mimi', 'id': 1189668755871154176, 'id_str': '1189668755871154176', 'indices': [3, 16]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1088353252771454976, 'id_str': '1088353252771454976', 'name': ""ZHOU ٩( 'ω' )و"", 'screen_name': 'gettinghitbyas1', 'location': 'Vietnam', 'description': 'KAT-TUN | SixTONES', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 98, 'friends_count': 287, 'listed_count': 2, 'created_at': 'Thu Jan 24 08:30:10 +0000 2019', 'favourites_count': 54844, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 6622, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1336319765963440131/SvGsWBbt_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1336319765963440131/SvGsWBbt_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1088353252771454976/1584215050', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,"{'created_at': 'Sat Apr 03 14:31:20 +0000 2021', 'id': 1378354433222799362, 'id_str': '1378354433222799362', 'full_text': 'Start 3/4/2021! #SixTONESANN \nJuri is with Taiga for tonight~', 'truncated': False, 'display_text_range': [0, 61], 'entities': {'hashtags': [{'text': 'SixTONESANN', 'indices': [16, 28]}], 'symbols': [], 'user_mentions': [], 'urls': []}, 'metadata': {'iso_language_code': 'en', 'result_type': 'recent'}, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'in_reply_to_status_id': None, 'in_reply_to_status_id_str': None, 'in_reply_to_user_id': None, 'in_reply_to_user_id_str': None, 'in_reply_to_screen_name': None, 'user': {'id': 1189668755871154176, 'id_str': '1189668755871154176', 'name': 'Mimi', 'screen_name': 'morisjimusho', 'location': 'MY | 💎 Schedule→', 'description': ""#𝐒𝐢𝐱𝐓𝐎𝐍𝐄𝐒 #森本慎太郎\n14/2/2021 I miss Shintaro's black hair already sobs!\nWaiting for Taro Taro Channel to happen 💎"", 'url': 'https://t.co/LkoP2HbZUB', 'entities': {'url': {'urls': [{'url': 'https://t.co/LkoP2HbZUB', 'expanded_url': 'https://docs.google.com/spreadsheets/d/1pFKGCEd2Ouap2r3FddyGESZ9F9cDU0ryppDmrde4xKY/edit?usp=sharing', 'display_url': 'docs.google.com/spreadsheets/d…', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 508, 'friends_count': 67, 'listed_count': 2, 'created_at': 'Wed Oct 30 22:21:59 +0000 2019', 'favourites_count': 3562, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 13537, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1251878415159848960/huyvFFVb_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1251878415159848960/huyvFFVb_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1189668755871154176/1593937595', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}, 'geo': None, 'coordinates': None, 'place': None, 'contributors': None, 'is_quote_status': False, 'retweet_count': 4, 'favorite_count': 8, 'favorited': False, 'retweeted': False, 'lang': 'en'}",FALSE,4,0,FALSE,FALSE,en,,,
Sat Apr 03 15:22:51 +0000 2021,1.37837E+18,1.37837E+18,"Please let the baby take a nap 😂
#SixTONESANN",1,FALSE,"[0, 45]","{'hashtags': [{'text': 'SixTONESANN', 'indices': [33, 45]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 2346104106, 'id_str': '2346104106', 'name': '🌈 Mikee 💎', 'screen_name': 'chsngrnbws', 'location': '🇵🇭・she/her', 'description': '✨ マイキー // 嵐一筋の人生 // ⛈️🌈💜・💎💗❤️・👑💜 // デジ 12.19・AYH 12.26 ・ARAFES 2020・This is 嵐・on eST 1.5 // 今日もとっても頑張りたいがー🐯🍅・ポジティブポジティブ💪・ #ありがとう嵐', 'url': 'https://t.co/UTmQk5fF0J', 'entities': {'url': {'urls': [{'url': 'https://t.co/UTmQk5fF0J', 'expanded_url': 'https://chsngrnbws.carrd.co/', 'display_url': 'chsngrnbws.carrd.co', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 458, 'friends_count': 395, 'listed_count': 2, 'created_at': 'Sun Feb 16 02:53:29 +0000 2014', 'favourites_count': 11988, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 29119, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'FFFFFF', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1343078617924788224/8eAxWD0J_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1343078617924788224/8eAxWD0J_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2346104106/1610368769', 'profile_link_color': '915C83', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,0,FALSE,FALSE,en,,,,
Sat Apr 03 15:22:32 +0000 2021,1.37837E+18,1.37837E+18,"iPhone20www
#SixTONESANN",0,FALSE,"[0, 24]","{'hashtags': [{'text': 'SixTONESANN', 'indices': [12, 24]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1318181012409470977, 'id_str': '1318181012409470977', 'name': 'き ょ う も と み つ は', 'screen_name': 'kyomon_6_', 'location': 'きょもーんず担兼きょもらー兼きょうもち担', 'description': '＠kyomon_st_の新垢🎶', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 138, 'friends_count': 137, 'listed_count': 2, 'created_at': 'Mon Oct 19 13:23:48 +0000 2020', 'favourites_count': 1002, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1190, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1347850786793947136/HTvHnhlP_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1347850786793947136/HTvHnhlP_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1318181012409470977/1611965290', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,0,FALSE,FALSE,en,,,,
Sat Apr 03 15:22:27 +0000 2021,1.37837E+18,1.37837E+18,iPhone'21？ #SixTONESANN,0,FALSE,"[0, 23]","{'hashtags': [{'text': 'SixTONESANN', 'indices': [11, 23]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 1198212526313328640, 'id_str': '1198212526313328640', 'name': 'しゃけ', 'screen_name': 't027YjtXv5oeeBv', 'location': '関東→九州', 'description': 'モーニング娘。20とハロープロジェクトのゆるオタ。まーちゃん推し。最近SixTONESも。ジャニーズ界隈は素人なので勉強中。', 'url': 'https://t.co/sYwMfZgCyO', 'entities': {'url': {'urls': [{'url': 'https://t.co/sYwMfZgCyO', 'expanded_url': 'https://shakesphere112358.hatenablog.com/', 'display_url': 'shakesphere112358.hatenablog.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 38, 'friends_count': 58, 'listed_count': 1, 'created_at': 'Sat Nov 23 12:11:54 +0000 2019', 'favourites_count': 1314, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 1801, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1198224597583183873/r4QsjLUx_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1198224597583183873/r4QsjLUx_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1198212526313328640/1574514816', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,0,FALSE,FALSE,en,,,,
Sat Apr 03 15:22:23 +0000 2021,1.37837E+18,1.37837E+18,"iPhone20📱
#SixTONESANN",0,FALSE,"[0, 22]","{'hashtags': [{'text': 'SixTONESANN', 'indices': [10, 22]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1246447259169873921, 'id_str': '1246447259169873921', 'name': 'ハナ🧬', 'screen_name': 'mochifuwa1027', 'location': 'きょもきょもバディ💝🍅', 'description': 'ハローパラレル！', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4, 'friends_count': 69, 'listed_count': 0, 'created_at': 'Sat Apr 04 14:39:30 +0000 2020', 'favourites_count': 2835, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2159, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1370748991143485442/TCjtsGjQ_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1370748991143485442/TCjtsGjQ_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1246447259169873921/1611238702', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,0,FALSE,FALSE,en,,,,
